task_complexity_score,brief_quality_score,scope_change_flag,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,rework_ratio,cost_ratio,efficiency,delivery_time,ai_complexity,error_rate,revisions_rate,profit_margin,profit_per_hour,revenue_per_hour,is_loss,sla_ratio,outcome_norm,rework_norm,quality_index,sla_ratio_norm,speed_index,client_Client_B,client_Client_C,client_Client_D,client_Client_E,client_Client_F,client_Client_G,client_Client_H,client_Client_I,client_Client_J,client_Client_K,client_Client_L,client_Client_M,client_Client_N,client_Client_O,client_Client_P,client_Client_Q,client_Client_R,client_Client_S,client_Client_T,client_Client_U,client_Client_V,client_Client_W,client_Client_X,client_Client_Y,client_Client_Z,client_Client_[,client_Client_\,client_tier_low,client_tier_mid,team_design,team_media,team_seo,task_type_article,task_type_design,task_type_development,task_type_release,task_type_report,task_type_ticket,seniority_mid,seniority_senior,deadline_pressure_low,deadline_pressure_medium,pricing_model_hourly,pricing_model_value_based,task_status_blocked,task_status_delivered,task_status_draft,task_status_in_progress,task_status_review,workflow_stage_client_review,workflow_stage_execution,workflow_stage_finalized,workflow_stage_qa,legacy_ai_flag_true,legacy_ai_flag_unknown,content_version_v1,content_version_v2,content_version_v3,content_version_v4,ai_group_15-30%,ai_group_30-50%,ai_group_50-75%,ai_group_75-100%
4,3.0,0,2.0,1,11.57,7.0,0.38,1,5,1,4.59,51.37,743.55,756.78,-13.230000000000018,0.39671564390665515,1.017793019971757,0.6050129645635264,3,1.52,0.08643042350907519,0.43215211754537597,-0.017793019971757137,-1.1434745030250664,64.26534140017286,1,1.5,0.4656043956043956,0.0009116253615801067,0.46469277024281547,0.2727272727272727,0.7272727272727273,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
5,4.0,0,3.0,1,21.11,13.48,0.56,1,5,1,4.61,78.42,1681.29,661.02,1020.27,0.21837991473235435,0.39316239316239315,0.6385599242065372,7,2.8000000000000003,0.047370914258645196,0.23685457129322596,0.6068376068376068,48.33112269066793,79.64424443391758,0,2.3333333333333335,0.7628571428571429,0.0005018220778219623,0.7623553207793209,0.42424242424242425,0.5757575757575757,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
3,5.0,0,2.0,1,14.78,14.17,0.0,0,1,3,0.9,76.62,831.85,860.8,-28.94999999999993,0.06089309878213803,1.0348019474664902,0.9587280108254398,9,0.36,0.2029769959404601,0.06765899864682003,-0.03480194746649026,-1.958728010825435,56.282138024357245,1,4.5,0.7430769230769231,0.00013992816781397535,0.7429369949091091,0.8181818181818182,0.18181818181818177,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False
3,2.0,1,2.0,1,5.53,5.07,0.27,1,1,2,2.94,59.93,598.67,277.76,320.91,0.5316455696202531,0.46396178194998916,0.9168173598553345,7,0.81,0.3616636528028933,0.18083182640144665,0.536038218050011,58.03074141048825,108.25858951175405,0,3.5,0.5596703296703297,0.00122168508371594,0.5584486445866138,0.6363636363636364,0.36363636363636365,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
1,4.0,0,7.0,0,6.01,4.9,0.54,1,2,0,1.66,79.92,459.38,235.72,223.66,0.2762063227953411,0.5131263877399974,0.8153078202995009,5,0.54,0.0,0.3327787021630616,0.4868736122600026,37.214642262895175,76.43594009983362,0,0.7142857142857143,0.7793406593406593,0.0006347032005328752,0.7787059561401265,0.12987012987012989,0.8701298701298701,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
3,3.0,0,7.0,0,12.55,11.4,0.34,1,2,2,0.81,68.28,1255.54,882.97,372.57,0.06454183266932272,0.7032591554231645,0.9083665338645418,8,1.02,0.1593625498007968,0.1593625498007968,0.29674084457683547,29.686852589641433,100.0430278884462,0,1.1428571428571428,0.6514285714285715,0.00014831270822800798,0.6512802587203435,0.20779220779220778,0.7922077922077922,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2,2.0,0,7.0,0,23.01,14.64,0.5,1,4,0,2.9,46.04,745.07,1272.55,-527.4799999999999,0.12603215993046502,1.707960325875421,0.636245110821382,4,1.0,0.0,0.1738374619730552,-0.7079603258754209,-22.923946110386783,32.38026944806606,1,0.5714285714285714,0.40703296703296704,0.00028961326615686953,0.40674335376681015,0.10389610389610389,0.8961038961038961,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
2,2.0,0,5.0,1,30.92,21.01,0.25,1,1,0,2.89,69.4,2745.14,1439.98,1305.16,0.09346701164294954,0.5245561246420948,0.6794954721862873,6,0.5,0.0,0.03234152652005175,0.4754438753579053,42.21086675291074,88.78201811125484,0,1.2,0.6637362637362638,0.00021478078717980832,0.663521482949084,0.21818181818181817,0.7818181818181819,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
4,5.0,0,3.0,1,7.75,4.5,0.0,0,4,1,0.69,79.16,1685.41,452.31,1233.1,0.08903225806451612,0.2683679342118535,0.5806451612903226,6,0.4,0.12903225806451613,0.5161290322580645,0.7316320657881464,159.10967741935482,217.47225806451613,0,2.0,0.770989010989011,0.00020459002738358183,0.7707844209616274,0.36363636363636365,0.6363636363636364,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
2,4.0,0,10.0,0,6.37,4.82,0.25,1,4,1,1.54,78.58,1030.0,330.63,699.37,0.24175824175824176,0.321,0.7566718995290425,3,0.5,0.15698587127158556,0.6279434850863422,0.679,109.79120879120879,161.69544740973313,0,0.3,0.7646153846153846,0.0005555438711403202,0.7640598407442443,0.05454545454545454,0.9454545454545454,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
2,5.0,0,3.0,1,8.27,5.4,0.0,0,3,1,0.61,73.77,697.5,474.04,223.46,0.07376058041112454,0.6796272401433692,0.6529625151148731,7,0.08,0.12091898428053205,0.36275695284159615,0.32037275985663083,27.020556227327692,84.34099153567111,0,2.3333333333333335,0.7117582417582418,0.00016949675875013286,0.7115887449994917,0.42424242424242425,0.5757575757575757,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
1,5.0,0,7.0,0,4.55,1.1,0.63,1,0,0,0.0,69.4,477.45,277.21,200.24,0.0,0.5806052989841868,0.2417582417582418,4,0.63,0.0,0.0,0.4193947010158132,44.008791208791216,104.93406593406594,0,0.5714285714285714,0.6637362637362638,0.0,0.6637362637362638,0.10389610389610389,0.8961038961038961,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2,4.0,1,3.0,1,12.97,3.0,0.16,1,2,1,1.07,74.14,299.67,888.6,-588.9300000000001,0.08249807247494217,2.9652617879667633,0.2313030069390902,5,0.32,0.07710100231303006,0.15420200462606012,-1.9652617879667635,-45.4070932922128,23.104857363145722,1,1.6666666666666667,0.7158241758241758,0.00018957491670615047,0.7156346009074697,0.30303030303030304,0.696969696969697,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
2,1.0,0,7.0,0,5.76,4.79,0.88,1,2,0,2.05,62.63,1124.7,358.62,766.08,0.35590277777777773,0.31885836222992797,0.8315972222222222,4,1.76,0.0,0.3472222222222222,0.681141637770072,133.0,195.26041666666669,0,0.5714285714285714,0.5893406593406594,0.000817840192244529,0.5885228191484149,0.10389610389610389,0.8961038961038961,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2,4.0,0,7.0,0,20.37,9.42,0.2,1,4,0,0.0,78.72,834.26,881.65,-47.38999999999999,0.0,1.0568048330256754,0.4624447717231222,9,0.4,0.0,0.19636720667648502,-0.05680483302567544,-2.326460481099656,40.955326460481096,1,1.2857142857142858,0.7661538461538462,0.0,0.7661538461538462,0.2337662337662338,0.7662337662337662,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
3,3.0,0,2.0,0,8.67,4.87,0.25,1,6,0,0.88,66.24,180.3,418.18,-237.88,0.10149942329873125,2.3193566278424846,0.5617070357554786,2,0.75,0.0,0.6920415224913495,-1.3193566278424846,-27.437139561707035,20.795847750865054,1,1.0,0.629010989010989,0.00023323871867944238,0.6287777502923095,0.18181818181818182,0.8181818181818181,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
4,5.0,0,5.0,0,8.72,6.27,0.61,1,8,2,1.38,65.8,1647.17,317.81,1329.36,0.15825688073394492,0.19294304777284677,0.7190366972477064,4,2.44,0.2293577981651376,0.9174311926605504,0.8070569522271531,152.44954128440364,188.89564220183485,0,0.8,0.6241758241758242,0.0003636634661061374,0.623812160709718,0.14545454545454548,0.8545454545454545,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
3,3.0,0,5.0,0,5.79,1.82,0.38,1,1,3,2.15,82.88,655.02,2930.2272945112363,-2275.2072945112363,0.3713298791018998,4.473492862067168,0.3143350604490501,5,1.1400000000000001,0.5181347150259067,0.17271157167530224,-3.473492862067168,-392.9546277221479,113.12953367875647,1,1.0,0.8118681318681318,0.0008532906138216645,0.8110148412543101,0.18181818181818182,0.8181818181818181,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
3,4.0,0,2.0,1,4.21,2.68,0.44,1,4,0,0.0,63.44,1448.48,189.83,1258.65,0.0,0.13105462277698002,0.6365795724465558,7,1.32,0.0,0.9501187648456058,0.86894537722302,298.96674584323046,344.0570071258907,0,3.5,0.5982417582417582,0.0,0.5982417582417582,0.6363636363636364,0.36363636363636365,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2,2.0,0,5.0,0,8.51,4.01,0.21,1,1,1,0.0,90.9,557.14,675.23,-118.09000000000005,0.0,1.2119574972179346,0.4712103407755582,7,0.42,0.11750881316098707,0.11750881316098707,-0.21195749721793453,-13.876615746180969,65.46886016451234,1,1.4,0.9,0.0,0.9,0.2545454545454545,0.7454545454545455,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
1,2.0,0,10.0,0,16.82,12.94,0.34,1,0,1,1.02,53.62,983.45,618.27,365.18000000000006,0.06064209274673008,0.6286745640347755,0.7693222354340071,7,0.34,0.059453032104637336,0.0,0.3713254359652245,21.711058263971466,58.46908442330559,0,0.7,0.4903296703296703,0.00013935137314680714,0.4901903189565235,0.12727272727272726,0.8727272727272728,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
1,5.0,0,2.0,0,11.48,6.58,0.34,1,4,2,1.2,60.32,734.72,573.31,161.41000000000008,0.10452961672473866,0.7803108667247386,0.573170731707317,8,0.34,0.17421602787456444,0.3484320557491289,0.21968913327526143,14.060104529616732,64.0,0,4.0,0.5639560439560439,0.00024020189550412954,0.5637158420605398,0.7272727272727273,0.2727272727272727,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
4,5.0,0,5.0,0,17.74,10.56,0.43,1,1,2,3.79,59.59,1689.93,610.97,1078.96,0.21364148816234502,0.36153568491002586,0.5952649379932357,6,1.72,0.11273957158962797,0.056369785794813984,0.6384643150899741,60.8207440811725,95.26099210823,0,1.2,0.555934065934066,0.0004909334983027187,0.5554431324357633,0.21818181818181817,0.7818181818181819,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
4,1.0,0,5.0,0,15.29,11.81,0.53,1,6,1,0.0,63.14,1052.17,724.67,327.5000000000001,0.0,0.6887385118374406,0.7724002616088947,8,2.12,0.06540222367560497,0.3924133420536298,0.3112614881625594,21.419228253760636,68.81425768476129,0,1.6,0.5949450549450549,0.0,0.5949450549450549,0.29090909090909095,0.709090909090909,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1,1.0,0,10.0,0,16.25,10.53,0.25,1,2,2,1.92,65.47,639.41,754.57,-115.16000000000008,0.11815384615384615,1.1801035329444334,0.6479999999999999,8,0.25,0.12307692307692308,0.12307692307692308,-0.1801035329444333,-7.086769230769236,39.34830769230769,1,0.8,0.6205494505494505,0.0002715094410227601,0.6202779411084278,0.14545454545454548,0.8545454545454545,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
3,3.0,0,5.0,0,13.91,7.72,0.85,1,1,1,1.82,55.95,850.68,695.98,154.69999999999993,0.13084112149532712,0.8181454836131096,0.5549964054636951,8,2.55,0.07189072609633357,0.07189072609633357,0.18185451638689043,11.1214953271028,61.15600287562904,0,1.6,0.515934065934066,0.00030066393026030927,0.5156334020038057,0.29090909090909095,0.709090909090909,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
5,4.0,0,10.0,0,15.75,13.16,0.65,1,1,2,1.98,59.52,2118.27,1241.52,876.75,0.12571428571428572,0.5861009219787846,0.8355555555555556,0,3.25,0.12698412698412698,0.06349206349206349,0.41389907802121545,55.666666666666664,134.49333333333334,0,0.0,0.5551648351648352,0.00028888281299296653,0.5548759523518422,0.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
4,3.0,0,3.0,0,18.48,14.39,0.0,0,4,2,0.99,61.54,1444.99,801.76,643.23,0.05357142857142857,0.5548550509000062,0.7786796536796536,5,0.2,0.10822510822510822,0.21645021645021645,0.4451449490999938,34.80681818181818,78.19209956709956,0,1.6666666666666667,0.5773626373626374,0.0001231034714458664,0.5772395338911915,0.30303030303030304,0.696969696969697,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,1.0,0,10.0,0,7.77,6.2,0.27,1,1,1,0.0,73.83,796.69,442.53,354.1600000000001,0.0,0.5554607187237193,0.797940797940798,4,0.27,0.1287001287001287,0.1287001287001287,0.4445392812762807,45.5804375804376,102.53410553410555,0,0.4,0.7124175824175824,0.0,0.7124175824175824,0.07272727272727274,0.9272727272727272,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2,5.0,0,5.0,1,14.69,8.24,0.45,1,3,1,1.55,91.6,1160.31,669.78,490.53,0.1055139550714772,0.5772422886987099,0.560925799863853,6,0.9,0.06807351940095303,0.2042205582028591,0.4227577113012902,33.392103471749486,78.9863852961198,0,1.2,0.9076923076923076,0.00024246383756526446,0.9074498438547424,0.21818181818181817,0.7818181818181819,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
1,2.0,0,3.0,0,4.0,3.95,0.37,1,4,1,2.32,69.4,833.92,279.05,554.8699999999999,0.58,0.3346244244052188,0.9875,8,0.37,0.25,1.0,0.6653755755947812,138.71749999999997,208.48,0,2.6666666666666665,0.6637362637362638,0.0013328002508539135,0.6624034634854099,0.4848484848484848,0.5151515151515151,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
